,MovieTitle,chg_ON,chg_ON_abs
2012-11-16,ヱヴァンゲリヲン新劇場版：破TV版,0.00542406311637078,0.00542406311637078
2012-11-23,カイジ2～人生奪回ゲーム～,,
2012-11-30,ホーム・アローン,-0.0018153213118720982,0.0018153213118720982
2012-12-07,映画怪物くん,0.002549781447304441,0.002549781447304441
2012-12-14,名探偵コナン天国へのカウントダウン,0.0057368232341341455,0.0057368232341341455
2012-12-21,ミッション：インポッシブル,0.010001190617930747,0.010001190617930747
2013-01-04,ハウルの動く城,0.0014757634237710915,0.0014757634237710915
2013-01-11,コクリコ坂から,0.004604672057502208,0.004604672057502208
2013-01-18,地球が静止する日,0.0016661112962346517,0.0016661112962346517
2013-01-25,書道ガールズ！！わたしたちの甲子園,0.007067918277194926,0.007067918277194926
2013-02-01,インシテミル7日間のデス・ゲーム,0.0073840807905309214,0.0073840807905309214
2013-02-08,96時間,0.015087832740596954,0.015087832740596954
2013-02-15,ALWAYS三丁目の夕日'64,0.013729729729729686,0.013729729729729686
2013-02-22,DOG×POLICE純白の絆,0.010291595197255508,0.010291595197255508
2013-03-01,チープ・フライト,0.010584296360297977,0.010584296360297977
2013-03-15,ハリー・ポッターと賢者の石,-0.011972930765226356,0.011972930765226356
2013-03-22,ハリー・ポッターと秘密の部屋,0.0028544243577544775,0.0028544243577544775
2013-03-29,釣りバカ日誌イレブン,0.0025521054870267425,0.0025521054870267425
2013-04-05,リバース〜警視庁捜査一課チームＺ〜,0.025750181704911265,0.025750181704911265
2013-04-12,エイリアンVS.プレデター,-0.008661496626044913,0.008661496626044913
2013-04-19,名探偵コナン11人目のストライカー,0.0050342327829238824,0.0050342327829238824
2013-04-26,アイアンマン,-0.007100111573181893,0.007100111573181893
2013-05-03,池上彰くんに教えたいニュース,,
2013-05-10,釣りバカ日誌5,0.0057216138897109425,0.0057216138897109425
2013-05-17,カイジ人生逆転ゲーム,0.0020483808037456883,0.0020483808037456883
2013-05-24,ハンコック,-0.005019191024505512,0.005019191024505512
2013-05-31,パラダイス・キス,-0.0011924873298220246,0.0011924873298220246
2013-06-07,プラダを着た悪魔,0.018428408737964603,0.018428408737964603
2013-06-14,アンストッパブル,-0.008095888970665504,0.008095888970665504
2013-06-21,インデペンデンス・デイ,0.004286589099816307,0.004286589099816307
2013-06-28,アイ、ロボット,0.006273398765557063,0.006273398765557063
